Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_1_0,CS_1_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_1_1,CS_1_1,Bookie_CS_2_0,CS_2_0,Bookie_CS_0_2,CS_0_2,Bookie_CS_2_1,CS_2_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_2_2,CS_2_2,Bookie_CS_3_0,CS_3_0,Bookie_CS_0_3,CS_0_3,Bookie_CS_3_1,CS_3_1,Bookie_CS_1_3,CS_1_3,Bookie_CS_3_2,CS_3_2,Bookie_CS_2_3,CS_2_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
KA4TJYvH,ECUADOR,2024,Liga Pro 2024,ECUADOR 1,28/09/2024,13:00,Second stage,Imbabura,EL Nacional,1,0,[69],[],bet365,3.1,2.1,3.5,bet365,2.5,3.0,2.9,bet365,1.4,2.75,bet365,3.0,1.36,bet365,8.0,1.08,bet365,1.06,10.0,bet365,1.29,3.5,bet365,1.98,1.83,bet365,3.4,1.3,bet365,6.5,1.11,bet365,1.73,2.0,bet365,1.4,1.36,1.5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,7.0,4.0,4.0,2.0,3.0,2.0,,,,,,,,,,,,,,,,,,,15.0,8.0,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,2.0,2.0,0.0,2.0,,,,,,,4.0,3.0,0.0,2.0,,,,,,,,,,,5.0,0.0,2.0,0.0,3.0,0.0,,,,,,,,,11.0,5.0,1.0,0.0,,
Sz4XIhfN,ECUADOR,2024,Liga Pro 2024,ECUADOR 1,27/09/2024,19:00,Second stage,Orense,Macara,1,0,[14],[],bet365,2.5,2.05,5.5,bet365,1.75,3.4,4.75,bet365,1.5,2.5,bet365,3.4,1.3,bet365,10.0,1.06,bet365,1.08,8.0,bet365,1.44,2.63,bet365,2.35,1.57,bet365,4.33,1.2,bet365,10.0,1.06,bet365,2.1,1.67,bet365,1.18,1.3,2.0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,9.0,6.0,4.0,3.0,5.0,3.0,,,,,,,,,,,,,,,,,,,12.0,19.0,,,,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,5.0,3.0,3.0,2.0,2.0,1.0,,,,,,,8.0,9.0,2.0,0.0,,,,,,,,,,,4.0,3.0,1.0,1.0,3.0,2.0,,,,,,,,,4.0,10.0,2.0,1.0,,
zNUPaDmo,ECUADOR,2024,Liga Pro 2024,ECUADOR 1,23/09/2024,19:00,Second stage,U. Catolica,Delfin,2,1,"[3, 31]",[6],bet365,1.83,2.4,8.0,bet365,1.33,4.75,10.0,bet365,1.33,3.25,bet365,2.63,1.44,bet365,6.5,1.11,bet365,1.04,13.0,bet365,1.22,4.0,bet365,1.73,2.08,bet365,2.75,1.4,bet365,5.5,1.14,bet365,2.2,1.62,bet365,1.06,1.18,3.25,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,9.0,5.0,7.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,,,,14.0,9.0,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,6.0,2.0,6.0,1.0,0.0,1.0,,,,,,,4.0,3.0,1.0,0.0,,,,,,,,,,,3.0,3.0,1.0,2.0,2.0,1.0,,,,,,,,,10.0,6.0,1.0,1.0,,
bc7dHuJI,ECUADOR,2024,Liga Pro 2024,ECUADOR 1,22/09/2024,20:00,Second stage,Emelec,Tecnico U.,3,1,"[4, 27, 65]",[55],bet365,2.75,1.91,5.0,bet365,1.95,3.4,3.9,bet365,1.57,2.25,bet365,3.75,1.25,bet365,13.0,1.04,bet365,1.1,7.0,bet365,1.53,2.38,bet365,2.6,1.48,bet365,5.5,1.14,bet365,13.0,1.04,bet365,2.25,1.57,bet365,1.25,1.3,1.8,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,9.0,5.0,6.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,,,,27.0,15.0,,,,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,2.0,0.0,0.0,1.0,,,,,,,11.0,9.0,3.0,0.0,,,,,,,,,,,7.0,4.0,4.0,3.0,3.0,1.0,,,,,,,,,16.0,6.0,1.0,1.0,,
CvE8OdQo,ECUADOR,2024,Liga Pro 2024,ECUADOR 1,22/09/2024,17:30,Second stage,Mushuc Runa,Orense,3,0,"[23, 56, 69]",[],bet365,2.63,2.1,4.5,bet365,1.95,3.4,4.2,bet365,1.44,2.63,bet365,3.25,1.33,bet365,10.0,1.06,bet365,1.07,9.0,bet365,1.36,3.0,bet365,2.15,1.67,bet365,3.75,1.25,bet365,9.0,1.07,bet365,1.91,1.8,bet365,1.22,1.3,1.8,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,10.0,5.0,8.0,1.0,2.0,4.0,,,,,,,,,,,,,,,,,,,19.0,4.0,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,3.0,0.0,1.0,4.0,,,,,,,14.0,1.0,2.0,0.0,,,,,,,,,,,6.0,1.0,5.0,1.0,1.0,0.0,,,,,,,,,5.0,3.0,0.0,0.0,,
jVCCNGuh,ECUADOR,2024,Liga Pro 2024,ECUADOR 1,22/09/2024,15:00,Second stage,Macara,Imbabura,2,0,"[23, 71]",[],bet365,2.63,2.1,4.33,bet365,1.95,3.4,3.8,bet365,1.4,2.75,bet365,3.0,1.36,bet365,9.0,1.07,bet365,1.05,11.0,bet365,1.29,3.5,bet365,1.95,1.85,bet365,3.4,1.3,bet365,6.5,1.11,bet365,1.83,1.83,bet365,1.25,1.3,1.8,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,7.0,10.0,3.0,6.0,4.0,4.0,,,,,,,,,,,,,,,,,,,7.0,11.0,,,,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,2.0,2.0,2.0,1.0,,,,,,,3.0,7.0,2.0,0.0,,,,,,,,,,,3.0,7.0,1.0,4.0,2.0,3.0,,,,,,,,,4.0,4.0,1.0,2.0,,
WpGuLNJg,ECUADOR,2024,Liga Pro 2024,ECUADOR 1,21/09/2024,21:00,Second stage,Dep. Cuenca,Barcelona SC,1,0,[2],[],bet365,3.4,2.1,3.25,bet365,2.63,3.25,2.55,bet365,1.44,2.63,bet365,3.25,1.33,bet365,9.0,1.07,bet365,1.06,10.0,bet365,1.33,3.25,bet365,2.1,1.7,bet365,3.75,1.25,bet365,8.0,1.08,bet365,1.83,1.83,bet365,1.5,1.33,1.44,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,8.0,11.0,3.0,4.0,5.0,7.0,,,,,,,,,,,,,,,,,,,10.0,13.0,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,2.0,1.0,3.0,4.0,,,,,,,2.0,6.0,2.0,0.0,,,,,,,,,,,3.0,6.0,1.0,3.0,2.0,3.0,,,,,,,,,8.0,7.0,0.0,1.0,,
4z8hIL3C,ECUADOR,2024,Liga Pro 2024,ECUADOR 1,21/09/2024,18:30,Second stage,LDU Quito,EL Nacional,1,1,[45],[21],bet365,2.0,2.38,6.5,bet365,1.48,4.33,6.0,bet365,1.36,3.0,bet365,2.63,1.44,bet365,7.0,1.1,bet365,1.04,13.0,bet365,1.25,3.75,bet365,1.8,2.0,bet365,3.0,1.36,bet365,6.0,1.13,bet365,1.91,1.8,bet365,1.13,1.2,2.63,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,15.0,5.0,5.0,3.0,10.0,2.0,,,,,,,,,,,,,,,,,,,19.0,4.0,,,,,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,8.0,2.0,4.0,2.0,4.0,0.0,,,,,,,6.0,2.0,1.0,1.0,,,,,,,,,,,7.0,3.0,1.0,1.0,6.0,2.0,,,,,,,,,13.0,2.0,3.0,2.0,,
AyFqKsZa,ECUADOR,2024,Liga Pro 2024,ECUADOR 1,21/09/2024,16:00,Second stage,Cumbaya,Aucas,0,3,[],"[11, 54, 87]",bet365,5.0,2.1,2.5,bet365,4.5,3.6,1.8,bet365,1.44,2.63,bet365,3.25,1.33,bet365,9.0,1.07,bet365,1.07,9.0,bet365,1.36,3.0,bet365,2.15,1.67,bet365,4.0,1.22,bet365,9.0,1.07,bet365,2.0,1.73,bet365,1.95,1.29,1.18,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,11.0,14.0,2.0,9.0,9.0,5.0,,,,,,,,,,,,,,,,,,,8.0,13.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,5.0,8.0,1.0,4.0,4.0,4.0,,,,,,,3.0,7.0,0.0,0.0,,,,,,,,,,,6.0,6.0,1.0,5.0,5.0,1.0,,,,,,,,,5.0,6.0,0.0,0.0,,
h04lJ1l6,ECUADOR,2024,Liga Pro 2024,ECUADOR 1,20/09/2024,21:00,Second stage,Libertad,Ind. del Valle,1,1,[20],[16],bet365,7.5,2.38,1.91,bet365,7.5,4.75,1.4,bet365,1.36,3.0,bet365,2.75,1.4,bet365,7.0,1.1,bet365,1.04,13.0,bet365,1.25,3.75,bet365,1.85,1.95,bet365,3.25,1.33,bet365,6.0,1.13,bet365,2.2,1.62,bet365,2.75,1.18,1.1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,9.0,5.0,3.0,4.0,6.0,1.0,,,,,,,,,,,,,,,,,,,22.0,11.0,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,5.0,3.0,2.0,3.0,3.0,0.0,,,,,,,7.0,6.0,1.0,0.0,,,,,,,,,,,4.0,2.0,1.0,1.0,3.0,1.0,,,,,,,,,15.0,5.0,1.0,2.0,,
2BByM34m,ECUADOR,2024,Liga Pro 2024,ECUADOR 1,16/09/2024,21:00,Second stage,Tecnico U.,Libertad,3,0,"[41, 64, 71]",[],bet365,2.2,2.2,6.5,bet365,1.53,4.1,6.0,bet365,1.44,2.63,bet365,3.0,1.36,bet365,9.0,1.07,bet365,1.06,10.0,bet365,1.33,3.25,bet365,2.08,1.73,bet365,3.75,1.25,bet365,8.0,1.08,bet365,2.1,1.67,bet365,1.13,1.22,2.38,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,11.0,4.0,7.0,2.0,4.0,2.0,,,,,,,,,,,,,,,,,,,15.0,11.0,,,,,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,2.0,2.0,1.0,1.0,,,,,,,7.0,4.0,2.0,2.0,,,,,,,,,,,8.0,1.0,5.0,0.0,3.0,1.0,,,,,,,,,8.0,7.0,4.0,2.0,,
4zW0S5RJ,ECUADOR,2024,Liga Pro 2024,ECUADOR 1,15/09/2024,19:30,Second stage,Barcelona SC,Macara,2,1,"[16, 62]",[39],bet365,2.0,2.25,7.5,bet365,1.44,4.1,8.0,bet365,1.4,2.75,bet365,3.0,1.36,bet365,8.0,1.08,bet365,1.05,11.0,bet365,1.29,3.5,bet365,1.95,1.85,bet365,3.4,1.3,bet365,6.5,1.11,bet365,2.2,1.62,bet365,1.08,1.22,2.63,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,14.0,9.0,8.0,6.0,6.0,3.0,,,,,,,,,,,,,,,,,,,12.0,12.0,,,,,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,9.0,6.0,4.0,4.0,5.0,2.0,,,,,,,1.0,5.0,0.0,3.0,,,,,,,,,,,5.0,3.0,4.0,2.0,1.0,1.0,,,,,,,,,11.0,7.0,1.0,1.0,,
Iwz5RPtQ,ECUADOR,2024,Liga Pro 2024,ECUADOR 1,15/09/2024,17:00,Second stage,Aucas,Mushuc Runa,1,2,[88],"[76, 93]",bet365,2.75,2.2,4.0,bet365,2.05,3.3,3.6,bet365,1.4,2.75,bet365,2.75,1.4,bet365,8.0,1.08,bet365,1.06,10.0,bet365,1.25,3.75,bet365,1.9,1.9,bet365,3.25,1.33,bet365,6.5,1.11,bet365,1.73,2.0,bet365,1.29,1.33,1.73,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,13.0,10.0,5.0,5.0,8.0,5.0,,,,,,,,,,,,,,,,,,,14.0,19.0,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,8.0,3.0,3.0,1.0,5.0,2.0,,,,,,,8.0,9.0,1.0,0.0,,,,,,,,,,,5.0,7.0,2.0,4.0,3.0,3.0,,,,,,,,,6.0,10.0,0.0,0.0,,
jXsJ3MlJ,ECUADOR,2024,Liga Pro 2024,ECUADOR 1,15/09/2024,14:30,Second stage,EL Nacional,Cumbaya,2,1,"[14, 22]",[69],bet365,2.2,2.2,6.0,bet365,1.57,3.8,5.75,bet365,1.44,2.63,bet365,3.25,1.33,bet365,9.0,1.07,bet365,1.07,8.5,bet365,1.36,3.0,bet365,2.1,1.7,bet365,3.75,1.25,bet365,8.0,1.08,bet365,2.2,1.62,bet365,1.14,1.25,2.3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,9.0,2.0,6.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,23.0,14.0,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,4.0,0.0,1.0,0.0,,,,,,,7.0,5.0,2.0,2.0,,,,,,,,,,,4.0,2.0,2.0,1.0,2.0,1.0,,,,,,,,,16.0,9.0,0.0,1.0,,
6TDE6O40,ECUADOR,2024,Liga Pro 2024,ECUADOR 1,14/09/2024,21:00,Second stage,Ind. del Valle,Emelec,2,1,"[29, 49]",[43],bet365,1.8,2.38,9.0,bet365,1.33,4.33,12.0,bet365,1.36,3.0,bet365,2.75,1.4,bet365,7.0,1.1,bet365,1.07,9.0,bet365,1.29,3.5,bet365,1.93,1.88,bet365,3.25,1.33,bet365,6.5,1.11,bet365,2.38,1.53,bet365,1.05,1.2,3.25,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,20.0,6.0,12.0,4.0,8.0,2.0,,,,,,,,,,,,,,,,,,,14.0,15.0,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,11.0,4.0,6.0,4.0,5.0,0.0,,,,,,,5.0,11.0,2.0,2.0,,,,,,,,,,,9.0,2.0,6.0,0.0,3.0,2.0,,,,,,,,,9.0,4.0,0.0,0.0,,
pKCI5rK6,ECUADOR,2024,Liga Pro 2024,ECUADOR 1,14/09/2024,18:30,Second stage,Imbabura,LDU Quito,4,0,"[6, 22, 44, 47]",[],bet365,5.5,2.3,2.1,bet365,5.75,3.75,1.57,bet365,1.33,3.25,bet365,2.63,1.44,bet365,7.0,1.1,bet365,1.04,13.0,bet365,1.22,4.0,bet365,1.8,2.0,bet365,2.75,1.4,bet365,5.5,1.14,bet365,1.83,1.83,bet365,2.3,1.25,1.14,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,11.0,9.0,9.0,4.0,2.0,5.0,,,,,,,,,,,,,,,,,,,11.0,10.0,,,,,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,9.0,2.0,7.0,1.0,2.0,1.0,,,,,,,6.0,3.0,0.0,2.0,,,,,,,,,,,2.0,7.0,2.0,3.0,0.0,4.0,,,,,,,,,5.0,7.0,0.0,2.0,,
OKCXMqks,ECUADOR,2024,Liga Pro 2024,ECUADOR 1,14/09/2024,16:00,Second stage,Delfin,Dep. Cuenca,0,0,[],[],bet365,2.88,2.1,4.0,bet365,2.2,3.4,3.2,bet365,1.44,2.63,bet365,3.25,1.33,bet365,9.0,1.07,bet365,1.07,9.0,bet365,1.33,3.25,bet365,2.1,1.7,bet365,3.75,1.25,bet365,8.0,1.08,bet365,1.83,1.83,bet365,1.36,1.3,1.67,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,12.0,3.0,8.0,2.0,4.0,1.0,,,,,,,,,,,,,,,,,,,13.0,13.0,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,2.0,0.0,4.0,0.0,,,,,,,8.0,7.0,1.0,0.0,,,,,,,,,,,6.0,3.0,6.0,2.0,0.0,1.0,,,,,,,,,5.0,6.0,2.0,1.0,,
CtqF42ZC,ECUADOR,2024,Liga Pro 2024,ECUADOR 1,13/09/2024,21:00,Second stage,Orense,U. Catolica,2,2,"[29, 40]","[35, 38]",bet365,3.6,2.05,3.2,bet365,2.88,3.2,2.45,bet365,1.44,2.63,bet365,3.25,1.33,bet365,9.0,1.07,bet365,1.07,9.0,bet365,1.36,3.0,bet365,2.2,1.65,bet365,4.0,1.22,bet365,9.0,1.07,bet365,1.83,1.83,bet365,1.53,1.36,1.4,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,4.0,9.0,3.0,4.0,1.0,5.0,,,,,,,,,,,,,,,,,,,21.0,24.0,,,,,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,3.0,2.0,1.0,1.0,,,,,,,9.0,7.0,1.0,3.0,,,,,,,,,,,0.0,6.0,0.0,2.0,0.0,4.0,,,,,,,,,12.0,17.0,1.0,2.0,,
